of course|"конечно!"|[əv] [kɔːs]
careful|внимательный; осторожный|[ˈkeəfl]
during|во время, в течение|[ˈdjʊərɪŋ]
water|вода|[ˈwɔːtə(r)]
driver|водитель|[ˈdraɪvə(r)]
faucet|водопроводный кран|[ˈfɔːsɪt]
return|возврат|[rɪˈtɜːn]
air|воздух|[eə(r)]
balloon|воздушный шар|[bəˈluːn]
near|возле; близко|[nɪə(r)]
perhaps|возможно; может быть|[pəˈhæps]
opportunity|возможность|[ˌɒpəˈtjuːnəti]
around|вокруг|[əˈraʊnd]
wolf|волк|[wʊlf]
hair|волосы|[heə(r)]
stink|вонять; вонь|[stɪŋk]
question|вопрос|[ˈkwestʃən]
eighteen|восемнадцать|[ˌeɪˈtiːn]
eight|восемь|[eɪt]
eighty|восемьдесят|[ˈeɪti]
Sunday|воскресенье|[ˈsʌndeɪ]
forward|вперед; передний|[ˈfɔːwəd]
doctor|врач|[ˈdɒktə(r)]
season|время года; сезон|[ˈsiːzn]
time|время|[taɪm]
still|все еще|[stɪl]
yet|все же|[jet]
all|все; весь|[ɔːl]
always|всегда|[ˈɔːlweɪz]
get up|вставать|[ɡet] [ʌp]
meeting|встреча; собрание|[ˈmiːtɪŋ]
meet|встречать|[miːt]
Tuesday|вторник|[ˈtjuːzdeɪ]
second|второй; секунда|[ˈsekənd]
entrance|вход|[ˈentrəns]
yesterday|вчера|[ˈjestədeɪ]
choose, chose, chosen|выбирать|[tʃuːz]
choice|выбор|[tʃɔɪs]
switch|выключатель; переключать|[swɪtʃ]
tall|высокий (о росте)|[tɔːl]
high|высокий|[haɪ]
height|высота|[haɪt]
exit|выход|[ˈeksɪt]
newspaper|газета|[ˈnjuːzpeɪpə(r)]
soda|газировка|[ˈsəʊ.də]
tie|галстук; привязывать|[taɪ]
wardrobe|гардероб|[ˈwɔː.drəʊb]
where|где; куда|[weə(r)]
eye|глаз|[aɪ]
depth|глубина|[depθ]
stupid|глупый|[ˈstjuːpɪd]
beef|говядина|[biːf]
year|год|[jɪə(r)]
head|голова|[hed]
headache|головная боль|[ˈhedeɪk]
hungry|голодный|[ˈhʌŋɡri]
blue|голубой; синий|[bluː]
mountain|гора|[ˈmaʊntən]
throat|горло|[θrəʊt]
city|город|[ˈsɪti]
pea|горох|[piː]
bitter|горький|[ˈbɪtə(r)]
hot|горячий|[hɒt]
hotel|гостиница|[həʊˈtel]
guest|гость|[həʊˈtel]
ready|готовый|[ˈredi]
degree|градус; степень|[dɪˈɡriː]
border|граница|[ˈbɔːdə(r)]
mushroom|гриб|[ˈmʌʃ.ruːm]
flu|грипп|[fluː]
loud|громкий|[laʊd]
rude|грубый|[ruːd]
chest|грудь|[tʃest]
pear|груша|[peər]
dirty|грязный|[ˈdɜːti]
lips|губы|[lɪp]
walk|гулять; прогулка|[wɔːk]
goose|гусь|[ɡuːs]
yes|да|[jes]
give|давать; дарить|[ɡɪv]
even|даже|[ˈiːvn]
far|далеко|[fɑː(r)]
purse|дамская сумка|[pɜːs]
birth date|дата рождения|[bɜːθ] [deɪt]
two|два|[tuː]
twenty|двадцать|[ˈtwenti]
twelve|двенадцать|[twelv]
door|дверь|[dɔː(r)]
move|двигать(ся); переезжать|[muːv]
yard|двор|[jɑːd]
cousin|двоюродный брат/сестра|[ˈkʌzn]
maiden name|девичья фамилия|[ˈmeɪ.dən] [neɪm]
girl|девочка|[ɡɜːl]
ninety|девяносто|[ˈnaɪnti]
nineteen|девятнадцать|[ˌnaɪnˈtiːn]
nine|девять|[naɪn]
grandfather|дед|[ˈɡrænfɑːðə(r)]
really|действительно; "правда?"|[ˈriːəli]
December|декабрь|[dɪˈsembə(r)]
make|делать; изготовлять|[meɪk]
do|делать|[du]
birthday|день рождения|[ˈbɜːθdeɪ]
day|день|[deɪ]
money|деньги|[ˈmʌni]
village|деревня; поселок|[ˈvɪlɪdʒ]
tree|дерево|[triː]
hold|держать; удерживать|[həʊld]
ten|десять|[ten]
children|дети|[ˈtʃɪl.drən]
cheap|дешёвый|[tʃiːp]
jeans|джинсы|[dʒiːnz]
sofa|диван|[ˈsəʊ.fə]
length|длина|[leŋθ]
long|длинный; долгий|[lɒŋ]
for|для; в течение|[fə(r)]
good bye|до свидания|[ɡʊd] [baɪ]
before|до|[bɪˈfɔː(r)]
rain|дождь|[reɪn]
have to|должен; обязан|[həv] [tə]
must|должным; надо|[məst]
house|дом (здание)|[haʊs]
home|дом (место проживания)|[həʊm]
road|дорога|[rəʊd]
expensive|дорогой (по цене)|[ɪkˈspensɪv]
dear|дорогой; милый|[dɪə(r)]
board|доска|[bɔːd]
delivery|доставка|[dɪˈlɪvəri]
enough|достаточно|[ɪˈnʌf]
achievement|достижение|[əˈtʃiːvmənt]
profit|доход; польза|[ˈprɒfɪt]
daughter|дочь|[ˈdɔːtə(r)]
friend|друг|[frend]
think|думать|[θɪŋk]
blow|дуть; удар; взрывать|[bləʊ]
shower|душ|[ˈʃaʊə(r)]
soul|душа|[səʊl]
chimney|дымовая труба|[ˈtʃɪm.ni]
melon|дыня|[ˈmel.ən]
uncle|дядя|[ˈʌŋkl]
his|его|[hɪz]
food|еда|[fuːd]
her|её|[hə(r)]
if|если; ли|[ɪf]
complain|жаловаться|[kəmˈpleɪn]
fever|жар; температура|[ˈfiːvə(r)]
wait|ждать|[weɪt]
wish|желать; желание|[wɪʃ]
yellow|жёлтый|[ˈjeləʊ]
stomach|желудок; живот|[ˈstʌmək]
wife|жена|[waɪf]
married|женатый/замужняя|[ˈmærid]
woman|женщина|[ˈwʊmən]
women|женщины|[ˈwɪmɪn]
animal|животное|[ˈænɪml]
life|жизнь|[laɪf]
giraffe|жираф|[dʒɪˈrɑːf]
live|жить|[lɪv]
magazine|журнал|[ˌmæɡəˈziːn]
journalist|журналист|[ˈdʒɜːnəlɪst]
fence|забор|[fens]
forget|забывать|[fəˈɡet]
tomorrow|завтра|[təˈmɒrəʊ]
breakfast|завтрак|[ˈbrekfəst]
task|задача|[tɑːsk]
delay|задержка; отсрочка|[dɪˈleɪ]
order|заказ; порядок|[ˈɔːdə(r)]
close|закрывать|[kləʊz]
living room|зал|[ˈlɪvɪŋ] [ruːm]
curtain|занавес; штора|[ˈkɜːtn]
busy|занятый|[ˈbɪzi]
note|записка; запись|[nəʊt]
wrist|запястье|[rɪst]
shy|застенчивый|[ʃaɪ]
call|звать; звонить|[kɔːl]
ring|звонить; кольцо|[rɪŋ]
here|здесь; сюда|[hɪə(r)]
health|здоровье|[helθ]
hello|здравствуйте|[helˈəʊ]
green|зелёный|[ɡriːn]
land|земля; участок|[lænd]
mirror|зеркало|[ˈmɪrə(r)]
winter|зима|[ˈwɪntə(r)]
evil|злой; зло|[ˈiːvl]
acquaintance|знакомый|[əˈkweɪn.təns]
knowledge|знание|[ˈnɒlɪdʒ]
know|знать|[nəʊ]
meaning|значение; смысл|[ˈmiːnɪŋ]
tooth|зуб|[tuːθ]
and|и|[ənd]
game|игра|[ɡeɪm]
play|играть|[pleɪ]
toy|игрушка|[tɔɪ]
go|идти; ехать|[ɡəʊ]
from|из|[frəm]
avoid|избегать|[əˈvɔɪd]
excuse|извинение; отговорка|[ɪkˈskjuːs]
sorry|извините|[ˈsɒri]
because of|из-за|[bɪˈkɒz] [əv]
change|изменение; менять|[tʃeɪndʒ]
measure|измерение; мера|[ˈmeʒə(r)]
or|или|[ɔː(r)]
have|иметь|[həv]
name|имя|[neɪm]
engineer|инженер|[ˌendʒɪˈnɪə(r)]
sometimes|иногда|[ˈsʌmtaɪmz]
art|искусство|[ɑːt]
their|их|[ðeə(r)]
July|июль|[dʒuˈlaɪ]
June|июнь|[dʒuːn]
yogurt|йогурт|[ˈjɒɡ.ət]
to|к; в (куда)|[tə]
squash|кабачок|[skwɒʃ]
each|каждый (по отдельности)|[iːtʃ]
every|каждый|[ˈevri]
what a pity|как жаль|[wɒt] [eɪ] [ˈpɪti]
how|как|[haʊ]
calendar|календарь|[ˈkæl.ɪn.dər]
stone|камень|[stəʊn]
cabbage|капуста|[ˈkæb.ɪdʒ]
hood|капюшон; капот|[hʊd]
pencil|карандаш|[ˈpensl]
map|карта|[mæp]
picture|картина|[ˈpɪktʃə(r)]
potatoes|картофель|[pəˈteɪtəʊz]
card|карточка|[kɑːd]
pan|кастрюля|[pæn]
cafe|кафе|[ˈkæf.eɪ]
porridge|каша|[ˈpɒr.ɪdʒ]
cough|кашель; кашлять|[kɒf]
flat|квартира|[flæt]
throw|кидать; бросать|[θrəʊ]
kilogram|килограмм|[ˈkɪləɡræm]
kilometer|километр|[ˈkɪl.əˌmiː.tər]
movie|кино|[ˈmuːvi]
cinema|кинотеатр|[ˈsɪnəmə]
sour|кислый|[ˈsaʊə(r)]
keyboard|клавиатура|[ˈkiːbɔːd]
lay|класть; накрывать|[leɪ]
glue|клей|[ɡluː]
client|клиент|[ˈklaɪənt]
strawberry|клубника|[ˈstrɔː.bər.i]
key|ключ; клавиша|[kiː]
book|книга|[bʊk]
carpet|ковер|[ˈkɑːpɪt]
when|когда|[wen]
sausage|колбаса|[ˈsɒs.ɪdʒ]
tights|колготки|[taɪts]
knee|колено|[niː]
wheel|колесо|[wiːl]
colleague|коллега|[ˈkɒliːɡ]
room|комната|[ruːm]
company|компания|[ˈkʌmpəni]
envelope|конверт|[ˈenvələʊp]
certainly|конечно; безусловно|[ˈsɜːtnli]
competitor|конкурент|[kəmˈpet.ɪ.tər]
ship|корабль|[ʃɪp]
hall|коридор|[hɔːl]
brown|коричневый|[braʊn]
feed|кормить|[fiːd]
box|коробка; ящик|[bɒks]
cow|корова|[kaʊ]
short|короткий; низкий|[ʃɔːt]
bone|кость|[bəʊn]
suit|костюм|[suːt]
cutlet|котлета|[ˈkʌt.lət]
coffee|кофе|[ˈkɒfi]
cardigan|кофта|[ˈkɑː.dɪ.ɡən]
cat|кошка|[kæt]
beautiful|красивая|[ˈbjuːtɪfl]
nice|красивый; хороший|[naɪs]
red|красный|[red]
beauty|красота; красавица|[ˈbjuːti]
armchair|кресло|[ˈɑːm.tʃeər]
shout|кричать; крик|[ʃaʊt]
bed|кровать|[bed]
rabbit|кролик; заяц|[ˈræb.ɪt]
sneakers|кроссовки|[ˈsniː.kər]
mug|кружка|[mʌɡ]
rat|крыса|[ræt]
roof|крыша|[ruːf]
who|кто|[huː]
somebody|кто-то|[ˈsʌmbədi]
corn|кукуруза|[kɔːn]
smoke|курить; дым|[sməʊk]
piece|кусок; часть|[piːs]
kitchen|кухня|[ˈkɪtʃɪn]
stove|кухонная плита|[stəʊv]
eat|кушать|[iːt]
lamp|лампа|[læmp]
noodles|лапша|[ˈnuːdlz]
lie|лгать; ложь|[laɪ]
left|левый; cлева; налево|[left]
easy|легкий; нетрудный|[ˈiːzi]
light|лёгкий; светлый|[laɪt]
lazy|ленивый|[ˈleɪzi]
forest|лес|[ˈfɒrɪst]
fly|летать; муха|[flaɪ]
summer|лето|[ˈsʌmə(r)]
lemon|лимон|[ˈlemən]
ruler|линейка|[ˈruːlə(r)]
fox|лиса|[fɒks]
leaf|лист|[liːf]
literature|литература|[ˈlɪtrətʃə(r)]
face|лицо|[feɪs]
forehead|лоб|[ˈfɒr.ɪd]
catch|ловить; подхватить|[kætʃ]
spoon|ложка|[spuːn]
elbow|локоть|[ˈelbəʊ]
break|ломать|[breɪk]
shovel|лопата; рыть|[ˈʃʌv.əl]
horse|лошадь|[hɔːs]
onion|лук (репчатый)|[ˈʌnjən]
moon|луна|[muːn]
better|лучше; более подходящий|[ˈbetə(r)]
best|лучший|[best]
love|любовь; любить|[lʌv]
anybody|любой; кто-нибудь|[ˈenibɒdi]
any|любые; всякий|[ˈeni]
people|люди|[ˈpiːpl]
frog|лягушка|[frɒɡ]
shop|магазин|[ʃɒp]
May|май|[meɪ]
small|маленький|[smɔːl]
raspberry|малина|[ˈrɑːz.bər.i]
boy|мальчик|[bɔɪ]
mummy (mum)|мама|[ˈmʌm.i] [mʌm]
mandarin|мандарин|[ˈmæn.dər.ɪn]
March|март|[mɑːtʃ]
butter|масло|[ˈbʌtə(r)]
mother|мать|[ˈmʌðə(r)]
machine|машина; механизм|[məˈʃiːn]
furniture|мебель|[ˈfɜːnɪtʃə(r)]
honey|мёд|[ˈhʌn.i]
bear|медведь|[beə(r)]
slow|медленный|[sləʊ]
nurse|медсестра|[nɜːs]
between|между|[bɪˈtwiːn]
less|меньше; менее|[les]
place|место|[pleɪs]
month|месяц|[mʌnθ]
dream|мечта; сон|[driːm]
microwave|микроволновка|[ˈmaɪ.krə.weɪv]
minute|минута|[ˈmɪnɪt]
world|мир (планета)|[wɜːld]
peace|мир (покой)|[piːs]
maybe|может быть|[ˈmeɪbi]
my|мой|[maɪ]
young|молодой|[jʌŋ]
milk|молоко|[mɪlk]
hammer|молоток|[ˈhæmə(r)]
sea|море|[siː]
carrot|морковь|[ˈkærət]
ice-cream|мороженое|[ˈaɪskriːm]
coast|морской берег|[kəʊst]
bridge|мост|[brɪdʒ]
can|мочь; может|[kæn]
husband|муж|[ˈhʌzbənd]
man|мужчина|[mæn]
men|мужчины|[men]
music|музыка|[ˈmjuːzɪk]
musician|музыкант|[mjuˈzɪʃn]
flour|мука|[ˈflaʊə(r)]
garbage|мусор|[ˈɡɑːbɪdʒ]
we|мы|[wi]
soap|мыло|[səʊp]
thought|мысль|[θɔːt]
wash|мыть; cтирать|[wɒʃ]
mouse|мышь|[maʊs]
soft|мягкий; нежный|[sɒft]
meat|мясо|[miːt]
ball|мяч|[bɔːl]
on|на|[ɒn]
above|над, выше|[əˈbʌv]
put on|надевать|[pʊt] [ɒn]
hope|надеяться; надежда|[həʊp]
least|наименьший; меньше всего|[liːst]
punish|наказывать|[ˈpʌnɪʃ]
cash|наличные|[kæʃ]
intend|намереваться|[ɪnˈtend]
remind|напоминать|[rɪˈmaɪnd]
enjoy|наслаждаться; нравиться|[ɪnˈdʒɔɪ]
running nose|насморк|[ˈrʌnɪŋ] [nəʊz]
science|наука|[ˈsaɪəns]
find|находить|[faɪnd]
chief|начальник|[tʃiːf]
begin|начинать|[bɪˈɡɪn]
our|наш|[ɑː(r)]
not|не|[nɒt]
sky|небо|[skaɪ]
recently|недавно|[ˈriːsntli]
week|неделя|[wiːk]
gentle|нежный|[ˈdʒentl]
some|некоторые; немного|[səm]
hate|ненавидеть|[heɪt]
necessary|необходимый|[ˈnesəsəri]
wrong|неправильный|[rɒŋ]
several|несколько|[ˈsevrəl]
although|несмотря на то что|[ɔːlˈðəʊ]
carry|нести|[ˈkæri]
no|нет|[nəʊ]
oil|нефть, масло|[ɔɪl]
underwear|нижнее белье|[ˈʌndəweə(r)]
low|низкий; низко|[ləʊ]
never|никогда|[ˈnevə(r)]
nobody|никто|[ˈnəʊbədi]
nothing|ничто|[ˈnʌθɪŋ]
but|но|[bət]
new|новый|[njuː]
leg|нога; ножка|[leɡ]
foot|нога; ступня|[fʊt]
nail|ноготь; гвоздь|[neɪl]
knife|нож|[naɪf]
scissors|ножницы|[ˈsɪzəz]
zero|ноль|[ˈzɪərəʊ]
nose|нос|[nəʊz]
wear|носить; одежда|[weə(r)]
handkerchief|носовой платок|[ˈhæŋ.kə.tʃiːf]
sock|носок|[sɒk]
laptop|ноутбук|[ˈlæp.tɒp]
night|ночь|[naɪt]
November|ноябрь|[nəʊˈvembə(r)]
like|нравиться; как|[laɪk]
about|о; около|[əˈbaʊt]
lunch|обед|[lʌntʃ]
monkey|обезьяна|[ˈmʌŋ.ki]
provide|обеспечивать|[prəˈvaɪd]
cloud|облако|[klaʊd]
area|область, район|[ˈeəriə]
circumstance|обстоятельство|[ˈsɜːkəmstəns]
shoes|обувь|[ʃuː]
explain|объяснять|[ɪkˈspleɪn]
usually|обычно|[ˈjuːʒuəli]
duty|обязанность|[ˈdjuːti]
widowed|овдовевший|[ˈwɪd.əʊd]
vegetables|овощи|[ˈvedʒ.tə.bl̩]
oatmeal|овсянка|[ˈəʊt.miːl]
fire|огонь; пожар|[ˈfaɪə(r)]
huge|огромный|[hjuːdʒ]
cucumber|огурец|[ˈkjuː.kʌm.bər]
clothes|одежда|[kləʊðz]
blanket|одеяло|[ˈblæŋ.kɪt]
one|один|[wʌn]
eleven|одиннадцать|[ɪˈlevn]
however|однако|[haʊˈevə(r)]
approve|одобрять|[əˈpruːv]
lend|одолжить|[lend]
expect|ожидать|[ɪkˈspekt]
lake|озеро|[leɪk]
ocean|океан|[ˈəʊʃn]
window|окно|[ˈwɪndəʊ]
October|октябрь|[ɒkˈtəʊbə(r)]
he|он|[hi]
she|она|[ʃi]
they|они|[ðeɪ]
it|оно|[ɪt]
danger|опасность|[ˈdeɪndʒə(r)]
describe|описывать|[dɪˈskraɪb]
experience|опыт; переживание|[ɪkˈspɪəriəns]
nut|орех|[nʌt]
autumn|осень|[ˈɔːtəm]
main|основной; главный|[meɪn]
especially|особенно|[ɪˈspeʃəli]
stay|останавливаться|[steɪ]
stop|остановка|[stɒp]
island|остров|[ˈaɪlənd]
spicy|острый (по вкусу)|[ˈspaɪsi]
sharp|острый; диез|[ʃɑːp]
answer|отвечать; ответ|[ˈɑːnsə(r)]
rest|отдыхать; отдых|[rest]
father|отец|[ˈfɑːðə(r)]
open|открывать; открытый|[ˈəʊpən]
excellent|отлично; превосходно|[ˈeksələnt]
relationship|отношение|[rɪˈleɪʃnʃɪp]
vacation|отпуск; каникулы|[vəˈkeɪʃn]
waste|отходы|[weɪst]
office|офис|[ˈɒfɪs]
waiter|официант|[ˈweɪtə(r)]
mark|оценка; отметка|[mɑːk]
obviously|очевидно|[ˈɒbviəsli]
delicious|очень вкусный|[dɪˈlɪʃ.əs]
very|очень|[ˈveri]
glasses|очки|[ɡlɑːs]
mistake|ошибка|[mɪˈsteɪk]
fall|падать|[fɔːl]
toe|палец (ноги)|[təʊ]
finger|палец|[ˈfɪŋɡə(r)]
stick|палка|[stɪk]
coat|пальто|[kəʊt]
memory|память; воспоминание|[ˈmeməri]
daddy (dad)|папа|[ˈdæd.i] [dæd]
pair|пара|[peə(r)]
guy|парень|[ɡaɪ]
park|парк|[pɑːk]
Easter|Пасха|[ˈiː.stər]
smell|пахнуть; запах|[smel]
first|первый; сначала|[fɜːst]
negotiation|переговоры|[nəˌɡəʊ.ʃiˈeɪ.ʃən]
in front of|перед|[ɪn] [frʌnt] [əv]
crossroads|перекрёсток|[ˈkrɒs.rəʊdz]
pepper|перец|[ˈpepə(r)]
peach|персик|[piːtʃ]
glove|перчатка|[ɡlʌv]
song|песня|[sɒŋ]
sand|песок|[sænd]
sing|петь|[sɪŋ]
sadness|печаль|[ˈsædnəs]
sad|печальный|[sæd]
cookie|печенье|[ˈkʊki]
oven|духовка|[ˈʌvn]
bake|печь|[beɪk]
jacket|пиджак; куртка|[ˈdʒækɪt]
pie|пирог; пирожок|[paɪ]
write|писать|[raɪt]
letter|письмо; буква|[ˈletə(r)]
drink|пить|[drɪŋk]
swim|плавать|[swɪm]
pay|платить|[peɪ]
dress|платье; одевать|[dres]
cry|плач; крик|[kraɪ]
nephew|племянник|[ˈnefjuː]
niece|племянница|[niːs]
shoulder|плечо|[ˈʃəʊldə(r)]
bad|плохой|[bæd]
square|площадь|[skweə(r)]
beach|пляж|[biːtʃ]
win|побеждать|[wɪn]
behavior|поведение|[bɪˈheɪ.vjər]
turn|повернуть; очередь|[tɜːn]
surface|поверхность; всплывать|[ˈsɜːfɪs]
weather|погода|[ˈweðə(r)]
below|под, ниже|[bɪˈləʊ]
under|под|[ˈʌndə(r)]
gift|дар,подарок|[ɡɪft]
chin|подбородок|[tʃɪn]
support|поддержка|[səˈpɔːt]
lift|поднимать(ся); лифт|[lɪft]
windowsill|подоконник|[ˈwɪn.dəʊ.sɪl]
pillow|подушка|[ˈpɪl.əʊ]
train|поезд|[treɪn]
trip|поездка; путешествие|[trɪp]
please|пожалуйста (прошу)|[pliːz]
the day before yesterday|позавчера|[ðə] [deɪ] [bɪˈfɔː(r)] [ˈjestədeɪ]
behind|позади|[bɪˈhaɪnd]
let|позволять|[let]
late|поздний; поздно|[leɪt]
show|показывать|[ʃəʊ]
leave|покидать; уходить|[liːv]
buy|покупать|[baɪ]
purchase|покупка|[ˈpɜːtʃəs]
floor|пол; этаж|[flɔː(r)]
field|поле|[fiːld]
useful|полезный|[ˈjuːsfl]
police|полиция|[pəˈliːs]
shelf|полка|[ʃelf]
towel|полотенце|[taʊəl]
get|получать; добираться|[ɡet]
benefit|польза; выгода|[ˈbenɪfɪt]
fit|поместиться; соответствовать|[fɪt]
put|помещать; класть|[pʊt]
tomato|помидор|[təˈmɑːtəʊ]
help|помогать; помощь|[help]
Monday|понедельник|[ˈmʌndeɪ]
visit|посещать; визит|[ˈvɪzɪt]
afternoon|после полудня|[ˌɑːftəˈnuːn]
after|после|[ˈɑːftə(r)]
last|последний; прошлый|[lɑːst]
the day after tomorrow|послезавтра|[ðə] [deɪ] [ˈɑːftə(r)] [təˈmɒrəʊ]
dishes|посуда|[dɪʃ]
send|посылать|[send]
package|посылка; упаковка|[ˈpækɪdʒ]
ceiling|потолок|[ˈsiːlɪŋ]
then|потом; тогда|[ðen]
because|потому что; так как|[bɪˈkɒz]
why|почему; зачем|[waɪ]
post office, mail|почта|[pəʊst] [ˈɒfɪs] [meɪl]
almost|почти|[ˈɔːlməʊst]
right|правильный; справа|[raɪt]
holiday|праздник; отпуск|[ˈhɒlədeɪ]
celebrate|праздновать|[ˈselɪbreɪt]
offer|предложение|[ˈɒfə(r)]
factory|предприятие|[ˈfæktri]
introduce|представлять; знакомить|[ˌɪntrəˈdjuːs]
advantage|преимущество|[ədˈvɑːntɪdʒ]
hi|привет|[haɪ]
attractive|привлекательный|[əˈtræktɪv]
habit|привычка|[ˈhæbɪt]
invitation|приглашение|[ˌɪnvɪˈteɪʃn]
decide|принимать решение|[dɪˈsaɪd]
bring|приносить, привозить|[brɪŋ]
meal|принятие пищи, еда|[miːl]
decision|принятие решения|[dɪˈsɪʒn]
come|приходить; приезжать|[kʌm]
reason|причина|[ˈriːzn]
problem|проблема|[ˈprɒbləm]
check|проверка; чек|[tʃek]
spend|проводить; тратить|[spend]
wire|проволока|[ˈwaɪə(r)]
shop assistant|продавец|[ʃɒp] [əˈsɪstənt]
just|просто; только что|[dʒʌst]
simple|простой|[ˈsɪmpl]
sheet|простыня; листок|[ʃiːt]
against|против|[əˈɡenst]
nasty|противный|[ˈnɑː.sti]
cool|прохладно; круто|[kuːl]
forgive|прощать|[fəˈɡɪv]
jump|прыгать; прыжок|[dʒʌmp]
straight|прямой; прямо|[streɪt]
bird|птица|[bɜːd]
travel|путешествовать|[ˈtrævl]
try|пытаться; попытка|[traɪ]
heel|пятка; каблук|[hiːl]
fifteen|пятнадцать|[ˌfɪfˈtiːn]
Friday|пятница|[ˈfraɪdeɪ]
fifth|пятый|[fɪfθ]
five|пять|[faɪv]
fifty|пятьдесят|[ˈfɪfti]
job|работа|[dʒɒb]
work|работать; работа|[wɜːk]
worker|рабочий|[ˈwɜːkə(r)]
radio|радио|[ˈreɪdiəʊ]
glad|радостный|[ɡlæd]
joy|радость|[dʒɔɪ]
divorced|разведенный|[dɪˈvɔːst]
development|развитие|[dɪˈveləpmənt]
talk|разговаривать; разговор|[tɔːk]
speak|разговаривать|[spiːk]
size|размер|[saɪz]
permit|разрешать|[pəˈmɪt]
early|ранний; рано|[ˈɜːli]
story|рассказ, история|[ˈstɔːri]
distance|расстояние|[ˈdɪstəns]
plant|растение|[plɑːnt]
grow|расти, выращивать|[ɡrəʊ]
comb|расчёска; расчесывать|[kəʊm]
child|ребенок|[tʃaɪld]
seldom|редко|[ˈsel.dəm]
cut|резать|[kʌt]
river|река|[ˈrɪvə(r)]
