above|выше
general-purpose|универсальный
generic|общий
guarantee|гарантировать
handle it|справиться
handles|обработка
hardwired|аппаратный
harm|вред
harmless|безвредный
Having to state|Явное указание
having to|того, чтобы
honest|честный
honestly|честно говоря
How come|как так
imagine|представить
implement|воплощать в жизнь
implementation|реализация
implicitly|неявно
implies|подразумевает
imply|означает
importantly|важно
improve|улучшать
in turn|в очереди
inappropriate|несоответствующий
incidentally|кстати
increasing|повышение
indeed|в самом деле
indirect|косвенный
inevitable|неизбежный
ingenuity|изобретательность
inhibits|запрещать
insane|безумный
insist|настаивать
installments|партия
insulating|изоляционный
interoperability|предназначены
invoking|ссылающееся
involves|связано
issues|вопросы
iterate|повторять
knowledge|знание
lead to|привести к
leading|ведущий
leads|приводит
leaks|утечки
likely|вероятно
loop|петля
maintain|поддерживать
maintainable|удобный
maintenance|поддержание
map it|сопоставить его
matching|соответствие
matters|важна
mean|имею в виду
meaning|имея в виду
measure|измерять
measurements|измерения
mention|упоминание
mere|всего лишь
mess around|возиться
mess|беспорядок
might|мог бы
mileage|пробег
miss the point|потерять суть
mitigating|смягчающим
most|большинство
narrow|узкий
naturally|естественно
neither|также нет
nonintrusive|неинтрузивного
note that|Обратите внимание, что
notice|замечать
noticed|заметил
notion|понятие
novices|новичоки
obvious|очевидный
occasionally|время от времени
occurrence|вхождение
odd|странный
often|довольно часто
opinions|мнения
order|порядок
ordinary|обычный
otherwise|в противном случае
outdated|устаревший
overheads|накладные расходы
ownership|владение
pair|пара
particular|конкретный
passed|передавать
penalties|штрафы
perpetuate|увековечивать
pervasive|распространяющийся
pipeline|конвейер
plain|простой
pleasant|приятный
plenty|много
plug|подключать
point of view|c точки зрения
pointer|указатель
precise|точный
prefer|предпочитать
prevents|предотвращает
primary|разработанный
promote|продвинуть
prone|склонный
propagation|распространение
proper|правильный
proprietary|патентованный
purely|чисто
purpose|цель
quite|довольно
raise|поднять
rarely|редко
rather than of|а не
rather|скорее
rationale|обоснование
reasonably|разумно
recently|недавно
reclaim|восстанавливать
reevaluation|переоценка
refactoring|рефакторинг
reflection|отражение
regex|регулярное выражение
related|связанный
relative|относительный
reliable|надежный
relies|полагается
rely|полагаться
represent|представлять
request|запрос
require|требовать
responsible|ответственность
restricted|ограниченный
retention|удержание
rigid|жесткий
safe|безопасен
safety|безопасность
scratch|нуля
seem|казаться
sequence|последовательность
serve|служить
several|несколько
shared|общий
shift|перешли
significant|значительное
silly|глупый
similar|аналогичный
simplification|упрощение
since|поскольку
slightly|немного
snags|помехи
solid|сплошной
something|что-нибудь
soon|скоро
sooner|рано
sort of|вроде
specify|указывать
spend|тратить
spurious|поддельный
statements|заявления
steal|украсть
sticking|придерживание
stir|переполох
successfully|успешно
suffering|страдающий
sufficiently|достаточно
suitable|подходящее
summary|краткое изложение
supplied|подаваемый
supply|предоставить
supported|поддерживают
suppose|предполагать
swap|замена
taught|учил
teachability|обучаемость
tedious|утомительный
terminated|прекращены
therefore|следовательно
throws away|выбрасывает
thus|Таким образом
tiny|крошечный
to avoid|избегать
to ensure|для обеспечения
to rely|полагаться
transferring|передача
traverse|пересекать
tricky|запутанный
tries|попытается сделать это
typos|опечаток
ugly|уродливый
uncommon|редкий
unfortunate|несчастный
unless|если
unlikely|вряд ли
unnecessary|ненужный
unrealistically|нереалистично
unsettling|тревожащий
unwillingness|нежелание
uses|полза
varied|разнообразный
variety|разных
vary|варьировать
verbose|подробный
viable|жизнеспособный
whenever|всякий раз, когда
whoever|кто бы ни
workarounds|обходные
worthwhile|полезными
wrap|заворачивать
youth|молодежь
