ability|способность
flexible|гибкий
flight|рейс
flood|наводнение
flower|цвток
frequently|часто
fruitful|плодотворный
fuel|топливо
further|в дальнейшем
furthermore|более того
gap|разрыв
gasoline|бензин
gate|ворота
gateway|шлюз
general|общий
give up|сдаваться
grade|сорт
great|великий
guarantee|гарантия
guess|угадай
handle|ручка
harm|вред
harmless|безвредный
heat|тепло
heater|нагреватель
heaven|небо
homeless|бездомный
homesick|тоскующий по дому
honor|честь
housework|домашняя уборка
how come|как так
however|однако
humor|юмор
hungry|голодный
identical|идентичный
imagine|представить
implement|воплощать в жизнь
implementation|реализация
implies|подразумевает
imply|подразумевать
important|важный
improve|улучшать
in addition|к тому же
in turn|в очереди
inappropriate|несоответствующий
incidentally|между прочим
increase|увеличение
indeed|в самом деле
indirect|косвенный
indispensable|незаменимый
individuals|люди
industry|промышленность
inequality|неравенство
inevitable|неизбежный
ingenuity|изобретательность
inhibits|подавлять
insane|безумный
inside|внутри
insist|утверждать
installment|взнос
instance|пример
insulate|изолировать
intractability|неразрешимости
intrinsically|в действительности
investigated|исследовалась
invoke|взывать
involve|включать
issue|вопрос
iterate|повторять
journey|поездка
joy|радость
kind|своего рода
knotty|запутанный
knowledge|знание
lack|отсутствие
landscape|пейзаж
late|поздно
later|позже
lead|вести
leaf|лист
leak|утечка
least|наименее
led|возглавить
legal|правовой
less|меньше
likely|вероятно
lite|облегченная
logger|лесоруб
looks like|похоже на
loop|петля
magazine|журнал
maintain|поддерживать
maintainable|ремонтопригодны
majority|большинство
many|многие
map it|сопоставить его
mark|отметка
match|совпадение
matter|дело
meal|порция еды
mean|имею в виду
measure|измерение
medicine|лекарство
mention|упоминание
mere|всего лишь
mess around|возиться
mess|беспорядок
meter|метр
might|мог бы
mileage|пробег
mind|разум
mirror|зеркало
miss the point|потерять суть
mistake|ошибка
mitigate|смягчать
moreover|кроме того
most|большинство
motion|движение
murder|убийство
mushroom|гриб
narrow|узкий
nationality|национальность
nature|природа
necessary|необходимо
neighborhood|окрестности
neither|ни один
none|никто
note that|обратите внимание, что
notice|уведомление
notion|понятие
novice|начинающий
objective|задача
obvious|очевидный
occasionally|время от времени
occur|происходить
occurrence|вхождение
odd|странный
offer|предлагает
often|довольно часто
opinion|мнение
opportunity|возможность
opposite|напротив
order|заказ
origin|происхождения
outcomes|результат
overhead|накладные расходы
overload|перегрузка
own|собственный
owner|владелец
ownership|владение
palace|дворец
pan|кастрюля
particular|конкретный
pass|проходить
passenger|пассажир
penalty|штраф
per|за
permission|разрешение
permit|разрешать
perpetuate|увековечивать
persistent|стойкий
pervasive|распространяющийся
phrase|фраза
plain|гладкий
plane|самолет
plant|растение
pleasant|приятный
pleasure|удовольствие
plenty|много
plural|множественное число
point of view|точка зрения
powder|порошок
precise|точный
predict|прогнозировать
prefer|предпочитать
preserve|сохранять
pretty|симпатичная
prevent|не допустить
private|частный
promote|продвинуть
prone|склонный
pronunciation|произношение
propagation|распространение
proper|правильный
property|собственность
purpose|цель
put off|откладывать
quite|довольно
radial|радиальный
raise|повышение
rare|редкий
rather|скорее
rationale|обоснование
reality|реальность
reasonable|разумный
receive|получать
recent|в последнее время
rectangle|прямоугольник
redundant|избыточный
reflection|отражение
regex|регулярное выражение
region|область
relation|связь
relationship|отношения
reliable|надежный
rely|полагаться
remain|оставаться
rent|аренда
repair|ремонтировать
represent|представлять
request|запрос
require|требовать
reservation|бронирование
residual|остаточный
responder|ответчик
responsibility|обязанность
responsible|ответственность
rest|отдых
restrict|ограничивать
retention|удержание
retrieve|извлекать
review|обзор
rigid|жесткий
route|маршрут
safe|безопасно
sand|песок
scene|место действия
schedule|график
scratch|царапина
search|поиск
seem|казаться
sell|продавать
sentence|предложение
sequence|последовательность
serve|служить
several|несколько
shape|форма
share|доля
sharp|острый
shift|сдвиг
short-term memory|кратковременная память
shut|закрытый
side|боковая сторона
signal|сигнал
signature|подпись
significant|значительное
silly|глупый
similar|аналогичный
simplification|упрощение
since|поскольку
sing|петь
singular|единственное число
site|сайт
slightly|немного
snags|загвоздка
soap|мыло
sofa|диван
soil|почва
solid|твердый
some|некоторые
something|что-нибудь
soon|скоро
sooner|рано
sort of|вроде
soup|суп
spatio-temporal|пространственно-временной
special|особый
specify|указывать
spell|орфографии
spend|тратить
spurious|поддельный
square|площадь
stage|этап
starve|голодать
statement|заявление
state-of-the-art|уровень развития
station|станция
steal|украсть
stick|придерживаться
still|все еще
stir|переполох
stock exchange|фондовая биржа
storage|место хранения
strength|прочность
stress|стресс
subject|предмет
submit|отправить
successfully|успешно
suffer|страдать
sufficiently|достаточно
suggestions|предложения
suitable|подходящее
summary|краткое изложение
supply|поставка
support|поддержка
suppose|предполагать
survey|опрос
suspend|приостановить
suspect|подозреваемый
swap|замена
take up|начать заниматься
tall|высокий
teach|учат
teachability|обучаемость
tedious|утомительный
template|шаблон
terminate|прекратить
therefore|следовательно
though|однако
through|через
throw away|выбросить
thus|таким образом
tiny|крошечный
tired|устал
to be obtained|чтобы получить
to ensure|для обеспечения
to handle|обрабатывать
to rely|полагаться
tonight|сегодня ночью
toothpaste|зубная паста
total|всего
tourist|турист
tower|башня
tracking|отслеживание
transfer|перевод
transportation|транспорт
traverse|пересекать
trend|тенденция
tricky|запутанный
trip|путешествие
truncate|усекать
trust|доверять
truth|правда
twice|дважды
typo|опечатка
ugly|уродливый
uncommon|редкий
unfortunate|к несчастью
unfortunately|к сожалению
union|союз
unless|если
unlikely|вряд ли
unnecessary|ненужный
unrealistically|нереалистично
unsettle|расстраивать
unwillingness|нежелание
upon|на
urgently|срочно
valley|долина
vary|варьировать
vehicle|средство передвижения
verbose|подробный
viable|жизнеспособный
victim|жертва
village|деревня
vocabulary|запас слов
waiter|официант
waitress|официантка
wallet|кошелек
waterfall|водопад
wear|носить
weather|погода
whenever|всякий раз, когда
whereas|поскольку
while|в то время как
whoever|кто бы ни
whole|целый
whose|чей
wind|ветер
wish|желание
workaround|обходной путь
worthwhile|стоящий
wrap|заворачивать
yard|двор
yet|все же
