accept|принимать|[əkˈsept]
data processing|обработка данных|[ˈdeɪtə] [ˈprəʊ.ses]
data|данные, информация|[ˈdeɪtə]
database|база данных|[ˈdeɪ.tə.beɪs]
debug|отлаживать|[ˌdiːˈbʌɡ]
debugger|отладчик|[diːˈbʌgər]
decrypt|расшифровывать|[dɪˈkrɪpt]
delete|удалять|[dɪˈliːt]
demand|требование|[dɪˈmɑːnd]
deploy|развертывать|[dɪˈplɔɪ]
design|дизайн|[dɪˈzaɪn]
desktop|рабочий стол|[ˈdesk.tɒp]
destructor|деструктор|[dɪsˈtrʌktə]
develop|разрабатывать|[dɪˈveləp]
developer|разработчик|[dɪˈvel.ə.pər]
device|устройство|[dɪˈvaɪs]
digital camera|цифровая камера|[ˈdɪdʒ.ɪ.təl] [ˈkæmərə]
digital|цифровой|[ˈdɪdʒ.ɪ.təl]
disable|отключать, деактивировать|[dɪˈseɪ.bl̩]
disconnect|разъединять, отключаться|[ˌdɪs.kəˈnekt]
diskette|дискета|[dɪsˈket]
display|дисплей|[dɪˈspleɪ]
distribute|распространять|[dɪˈstrɪbjuːt]
distributed system|распределенная система|[dɪˈstrɪb.juːt]
domain name system (DNS)|система доменных имен|[dəˈmeɪn] [neɪm] [ˈsɪstəm]
domain|домен|[dəˈmeɪn]
download|загружать, скачивать|[ˌdaʊnˈləʊd]
drive|диск|[draɪv]
dummy|ламер|[ˈdʌm.i]
edit|редактировать|[ˈed.ɪt]
eject|извлекать (устройство)|[ɪˈdʒekt]
electronic|электронный|[ɪˌlekˈtrɒnɪk]
email|электронная почта|[ˈiːmeɪl]
enable|включать, активировать|[ɪˈneɪbl]
encapsulation|инкапсуляция|[ɪnˈkæp.sjʊ.leɪt]
encoding|кодировка|[ɪnˈkəʊd]
encrypt|шифровать, зашифровывать|[ɪnˈkrɪpt]
engine|двигатель, движок|[ˈendʒɪn]
enhancement|улучшение|[ɪnˈhɑːnsmənt]
enter|вводить|[ˈentə(r)]
erase|стереть|[ɪˈreɪz]
error|ошибка|[ˈerə(r)]
event|событие|[ɪˈvent]
example|пример|[ɪɡˈzɑːmpl]
execute|исполнять|[ˈek.sɪ.kjuːt]
expand|развернуть|[ɪkˈspænd]
extension|расширение|[ɪkˈstenʃn]
extreme programming|экстремальное программирование|[ɪkˈstriːm] [ˈprəʊ.ɡræm.ɪŋ]
failure|сбой|[ˈfeɪljə(r)]
fan|вентилятор охлаждения, кулер|[fæn]
fault-tolerant|отказоустойчивость|[fɔːlt] [ˈtɒl.ər.ənt]
feature|характеристика|[ˈfiːtʃə(r)]
file|файл|[faɪl]
firewall|брандмауэр|[ˈfaɪə.wɔːl]
firmware|прошивка, микропрограмма|[ˈfɜːm.weər]
flash drive|флеш накопитель|[flæʃ] [draɪv]
folder|папка|[ˈfəʊl.dər]
font|шрифт|[fɒnt]
format|форматировать|[ˈfɔː.mæt]
forum|форум|[ˈfɔː.rəm]
forward|переслать|[ˈfɔːwəd]
freeware|бесплатное программное обеспечение|[ˈfriː.weər]
function|функция|[ˈfʌŋkʃn]
gadget|технологичное устройство|[ˈɡædʒ.ɪt]
gateway|шлюз|[ˈɡeɪt.weɪ]
graphical user interface (GUI)|графический пользовательский интерфейс|[ˈgræfɪkl] [ˈjuːzə(r)] [ˈɪn.tə.feɪs]
graphics card|видеокарта|[ˈɡræf.ɪks] [kɑːd]
graphics processing unit (GPU)|графический процессор|[ˈɡræf.ɪks] [ˈprəʊ.ses] [ˈjuːnɪt]
hacker|хакер|[ˈhæk.ər]
hard disk drive (HDD)|жесткий диск|[hɑːd] [dɪsk] [draɪv]
headline|заголовок|[ˈhed.laɪn]
headphones|наушники|[ˈhed.fəʊnz]
high availability|высока доступность|[haɪ] [əˌveɪ.ləˈbɪl.ɪ.ti]
high performance|высокая производительность|[haɪ] [pəˈfɔːməns]
hyperlink|гиперссылка|[ˈhaɪ.pə.lɪŋk]
icon|значок|[ˈaɪ.kɒn]
image|изображение|[ˈɪmɪdʒ]
implement|внедрять, реализовывать|[ˈɪm.plɪ.ment]
implementation|реализация|[ɪmplɪmenˈteɪʃn]
import|импорт|[ˈɪmpɔːt]
include|включение|[ɪnˈkluːd]
incremental development|инкрементная модель разработки|[ˌɪŋ.krəˈmen.təl] [dɪˈveləpmənt]
infrared|инфракрасный|[ˌɪn.frəˈred]
initialize|инициализировать|[ɪˈnɪʃ.əl.aɪz]
input|ввод|[ˈɪn.pʊt]
insert|вставлять|[ɪnˈsɜːt]
install|устанавливать|[ɪnˈstɔːl]
instant|мгновенный|[ˈɪn.stənt]
instruction|инструкция|[ɪnˈstrʌkʃn]
integrate|интегрировать|[ˈɪn.tɪ.ɡreɪt]
integrated development environment (IDE)|интегрированная среда разработки|[ˈɪn.tɪ.ɡreɪt] [dɪˈveləpmənt] [ɪnˈvaɪrənmənt]
interactive|интерактивный|[ˌɪn.təˈræk.tɪv]
interface|интерфейс|[ˈɪn.tə.feɪs]
Internet service provider (ISP)|интернет-провайдер|[ˈɪntənet] [ˈsɜːvɪs] [prəˈvaɪ.dər]
interpreter|интерпретатор|[ɪnˈtɜː.prɪ.tər]
interrupt|прерывать|[ˌɪntəˈrʌpt]
iterative development|итеративная модель разработки|[ˈɪt.ər.ə.tɪv] [dɪˈveləpmənt]
joystick|джойстик|[ˈdʒɔɪ.stɪk]
kernel|ядро|[ˈkɜː.nəl]
keyboard|клавиатура|[ˈkiːbɔːd]
lamer|ламер|[leɪm]
language|язык|[ˈlæŋɡwɪdʒ]
laptop|ноутбук|[ˈlæp.tɒp]
latency|задержка, период ожидания|[ˈleɪtənsi]
layer|слой|[ˈleɪə(r)]
layout|макет|[ˈleɪ.aʊt]
legal notes|юридическое заявление|[ˈliːɡl] [nəʊt]
level|уровень|[ˈlevl]
library|библиотека|[ˈlaɪbrəri]
life-cycle|жизненный цикл|[laɪf] [ˈsaɪkl]
light-emitting diode (LED)|светодиод|[laɪt] [ɪˈmɪtɪŋ] [ˈdaɪ.əʊd]
limit|предел|[ˈlɪmɪt]
link|ссылка|[lɪŋk]
liquid crystal display (LCD)|жидкокристаллический индикатор|[ˈlɪkwɪd] [ˈkrɪs.təl] [dɪˈspleɪ]
literal|литерал|[ˈlɪt.ər.əl]
live Compact Disc|загрузочный компакт-диск|[lɪv] [kəmˈpækt] [dɪsk]
load|загружать|[ləʊd]
local area network (LAN)|локальная вычислительная сеть|[ˈləʊkl] [ˈeəriə] [ˈnetwɜːk]
Local|местный|[ˈləʊkl]
localhost|локальное имя домена|[ˈləʊkələʊst]
lock|замыкать|[lɒk]
log file|журнал сообщений|[lɒɡ] [faɪl]
loop|цикл|[luːp]
low-level|низкоуровневый|[ləʊ] [ˈlevl]
mail|почта|[meɪl]
maintain|поддерживать|[meɪnˈteɪn]
malicious software (malware)|вредоносное программное обеспечение|[məˈlɪʃ.əs] [ˈsɒftweə(r)] [ˈmæl.weər]
manual|инструкция|[ˈmæn.ju.əl]
match|совпадение|[mætʃ]
media access control (MAC)|аппаратный адрес|[ˈmiːdiə] [ˈækses] [kənˈtrəʊl]
member|член класса|[ˈmembə(r)]
memory|память|[ˈmeməri]
message|сообщение|[ˈmesɪdʒ]
method|метод|[ˈmeθəd]
microphone|микрофон|[ˈmaɪ.krə.fəʊn]
minimize|свернуть|[ˈmɪn.ɪ.maɪz]
mode|режим|[məʊd]
modem|модем|[ˈməʊ.dem]
moderator|модератор|[ˈmɒd.ər.eɪ.tər]
modify|видоизменять|[ˈmɒd.ɪ.faɪ]
monitor|монитор|[ˈmɒnɪtə(r)]
motherboard|материнская плата|[ˈmʌð.ə.bɔːd]
mouse|мышь|[maʊs]
network card|сетевой адаптер|[ˈnetwɜːk] [kɑːd]
network|сеть|[ˈnetwɜːk]
nickname|прозвище|[ˈnɪk.neɪm]
node|узел связи|[nəʊd]
notebook|ноутбук|[ˈnəʊt.bʊk]
object|объект|[ˈɒbdʒɪkt]
object-oriented programming (OOP)|объектно-ориентированное программирование|[ˈɒbdʒɪkt] [ˈɔːrɪentɪd] [ˈprəʊ.ɡræm.ɪŋ]
offline|не в сети|[ˌɒfˈlaɪn]
offset|смещение|[ˌɒfˈset]
online|в сети|[ˈɒn.laɪn]
open source software|(ПО) с открытым исходным кодом|[ˈəʊpən] [sɔːs] [ˈsɒftweə(r)]
operating system (OS)|операционная система|[ˈɒp.ər.eɪt] [ˈsɪstəm]
operation|операция|[ˌɒpəˈreɪʃn]
outdated|устаревший|[ˌaʊtˈdeɪ.tɪd]
overload|перегрузка|[ˌəʊ.vəˈləʊd]
package|пакет|[ˈpækɪdʒ]
password|пароль|[ˈpɑːs.wɜːd]
paste|вставлять|[peɪst]
patch cord|коммутационный кабель, патч-корд|[pætʃ] [kɔːd]
path|путь|[pɑːθ]
peer-to-peer (P2P)|одноранговая сеть, пиринговая сеть|[pɪər] [tə] [pɪər]
peripheral|периферийный|[pəˈrɪf.ər.əl]
permission|разрешение|[pəˈmɪʃn]
platform|платформа|[ˈplætfɔːm]
plug in|подключать|[plʌɡ] [ɪn]
plugin|плагин|[ˈplʌgɪŋ]
pop-up|всплывающий|[ˈpɒpjʊp]
port|разъем, порт|[pɔːt]
portable|портативный|[ˈpɔː.tə.bl̩]
portal|портал|[ˈpɔː.təl]
post|публикация|[pəʊst]
power supply unit (PSU)|блок питания|[ˈpaʊə(r)] [səˈplaɪ] [ˈjuːnɪt]
prefix|префикс|[ˈpriː.fɪks]
press|нажимать|[pres]
print|распечатать|[prɪnt]
printer|принтер|[ˈprɪntə(r)]
process|процесс|[ˈprəʊses]
processing|обработка|[ˈprəʊ.ses]
programmer|программист|[ˈprəʊ.ɡræm.ər]
programming|программирование|[ˈprəʊ.ɡræm.ɪŋ]
protection|защита|[prəˈtekʃn]
prototyping|прототипирование|[ˈprəʊtətaɪpɪŋ]
provide|предоставлять|[prəˈvaɪd]
provider|провайдер|[prəˈvaɪ.dər]
quality|качество|[ˈkwɒləti]
query|запрос|[ˈkwɪə.ri]
quorum|кворум|[ˈkwɔː.rəm]
random|случайный|[ˈræn.dəm]
random-access memory (RAM)|оперативная память (ОЗУ)|[ˈræn.dəm] [ˈækses] [ˈmeməri]
rapid application development (RAD)|быстрая разработка приложений (методология)|[ˈræpɪd] [ˌæplɪˈkeɪʃn] [dɪˈveləpmənt]
read-only memory (ROM)|постоянное запоминающее устройство (ПЗУ)|[riːd] [ˈəʊnli] [ˈmeməri]
reboot|перезагружать|[ˌriːˈbuːt]
recovery|восстановление|[rɪˈkʌv.ər.i]
redirect|переадресовать|[ˌriː.daɪˈrekt]
register|регистрироваться|[ˈredʒɪstə(r)]
regression testing|регрессионное тестирование|[rɪˈɡres] [ˈtes.tɪŋ]
remote|удалённый|[rɪˈməʊt]
removable media|съемные носители информации|[rɪˈmuː.və.bl̩] [ˈmiːdiə]
replace|заменять|[rɪˈpleɪs]
replica|точная копия|[ˈrep.lɪ.kə]
reply|ответить|[rɪˈplaɪ]
request|запрос|[rɪˈkwest]
reset|сброс|[ˈriːˈset]
restart|перезагрузить|[ˌriːˈstɑːt]
restore|восстанавливать|[rɪˈstɔː(r)]
router|маршрутизатор, роутер|[ˈruː.tər]
run|запускать|[rʌn]
saturation|насыщенность|[ˌsætʃəˈreɪʃn]
save|сохранять|[seɪv]
scale|масштаб|[skeɪl]
scanner|сканер|[ˈskæn.ər]
schedule|расписание|[ˈʃedjuːl]
screen|экран|[skriːn]
script|скрипт|[skrɪpt]
scroll|прокручивать|[skrəʊl]
search|поиск|[sɜːtʃ]
security|безопасность|[sɪˈkjʊərəti]
select|выбирать|[sɪˈlekt]
selector|селектор|[sɪˈlek.tər]
server software|серверное программное обеспечение|[ˈsɜː.vər] [ˈsɒftweə(r)]
session|сессия|[ˈseʃn]
sign in|войти, зарегистрироваться|[saɪn] [ɪn]
sign out|выйти|[saɪn] [aʊt]
signature|подпись|[ˈsɪɡnətʃə(r)]
smartphone|смартфон|[ˈsmɑːt.fəʊn]
snapshot|снимок состояния системы|[ˈsnæp.ʃɒt]
social|социальный|[ˈsəʊʃl]
software|программное обеспечение|[ˈsɒftweə(r)]
solid-state drive (SSD)|твердотельный накопитель|[ˈsɒlɪd] [steɪt] [draɪv]
sort|сортировать|[sɔːt]
sound card (audio card)|звуковая карта|[saʊnd] [kɑːd] [ˈɔː.di.əʊ] [kɑːd]
source|исходник|[sɔːs]
spam|спам|[spæm]
speakers|колонки|[ˈspiː.kər]
speech|речь|[spiːtʃ]
spiral development|спиральная модель разработки|[ˈspaɪə.rəl] [dɪˈveləpmənt]
spreadsheet|электронная таблица|[ˈspred.ʃiːt]
spyware|программа-шпион, шпионское программное обеспечение|[ˈspaɪ.weər]
staff|штат|[stɑːf]
statement|оператор|[ˈsteɪtmənt]
static variable|статическая переменная|[ˈstæt.ɪk] [ˈveə.ri.ə.bl̩]
status bar|строка состояния|[ˈsteɪtəs] [bɑː(r)]
storage device|запоминающее устройство, накопитель|[ˈstɔː.rɪdʒ] [dɪˈvaɪs]
storage|хранилище|[ˈstɔː.rɪdʒ]
stream|транслировать|[striːm]
subdomain|поддомен, субдомен|[sʌb] [dəˈmeɪn]
subscribe|подписаться|[səbˈskraɪb]
suspend|приостанавливать|[səˈspend]
switch off|выключать|[swɪtʃ] [ɒf]
switch on|включать|[swɪtʃ] [ɒn]
switchboard|коммутатор|[ˈswɪtʃ.bɔːd]
table|таблица|[ˈteɪbl]
tablet|планшет|[ˈtæblət]
tag|метка|[tæɡ]
template|шаблон|[ˈtem.pleɪt]
temporary|временный|[ˈtemprəri]
testing|тестирование|[ˈtes.tɪŋ]
text editor|текстовый редактор|[tekst] [ˈedɪtə(r)]
tool|инструмент|[tuːl]
touch screen|сенсорный экран|[tʌtʃ] [skriːn]
twisted pair|витая пара|[ˈtwɪstɪd] [peə(r)]
uninstall|деинсталлировать, удалять|[ˌʌn.ɪnˈstɔːl]
unit testing|модульное (блочное, компонентное) тестирование|[ˈjuːnɪt] [ˈtes.tɪŋ]
unit|блок|[ˈjuːnɪt]
update|обновлять|[ʌpˈdeɪt]
upgrade|модернизировать|[ʌpˈɡreɪd]
upload|загружать, закачивать|[ʌpˈləʊd]
usability|удобство использования|[ˌjuːzəˈbɪləti]
user|пользователь|[ˈjuːzə(r)]
utility|утилита|[juːˈtɪl.ɪ.ti]
variable|переменная|[ˈveə.ri.ə.bl̩]
verify|проверять|[ˈver.ɪ.faɪ]
version control system (VCS)|система контроля версий|[ˈvɜːʃn] [kənˈtrəʊl] [ˈsɪstəm]
version|версия|[ˈvɜːʃn]
virtual|виртуальный|[ˈvɜː.tju.əl]
virus|вирус|[ˈvaɪrəs]
water cooling|водяное охлаждение|[ˈwɔːtə(r)] [ˈkuː.lɪŋ]
waterfall model|каскадная модель разработки|[ˈwɔː.tə.fɔːl] [ˈmɒdl]
web application|веб-приложение|[web] [ˌæplɪˈkeɪʃn]
web-page|веб-страница|[ˈwebpeɪʤ]
website|веб-сайт|[ˈwebsaɪt]
wide area network (WAN)|глобальная сеть|[waɪd] [ˈeəriə] [ˈnetwɜːk]
wireless network|беспроводная сеть|[ˈwaɪə.ləs] [ˈnetwɜːk]
