of course|"конечно!"
season|время года; сезон
time|время
still|все еще
yet|все же
all|все; весь
always|всегда
get up|вставать
meeting|встреча; собрание
meet, met|встречать
Tuesday|вторник
second|второй; секунда
entrance|вход
yesterday|вчера
choose, chose, chosen|выбирать
choice|выбор
switch|выключатель; переключать
tall|высокий (о росте)
high|высокий
height|высота
exit|выход
newspaper|газета
soda|газировка
tie|галстук; привязывать
wardrobe|гардероб
where|где; куда
eye|глаз
depth|глубина
stupid|глупый
beef|говядина
year|год
head|голова
headache|головная боль
hungry|голодный
blue|голубой; синий
mountain|гора
throat|горло
city|город
pea|горох
bitter|горький
hot|горячий
hotel|гостиница
guest|гость
ready|готовый
degree|градус; степень
border|граница
mushroom|гриб
flu|грипп
loud|громкий
rude|грубый
chest|грудь
pear|груша
dirty|грязный
lips|губы
walk|гулять; прогулка
goose|гусь
yes|да
give, gave, given|давать; дарить
even|даже
far|далеко
purse|дамская сумка
birth date|дата рождения
two|два
twenty|двадцать
twelve|двенадцать
door|дверь
move|двигать(ся); переезжать
yard|двор
cousin|двоюродный брат/сестра
maiden name|девичья фамилия
girl|девочка
ninety|девяносто
nineteen|девятнадцать
nine|девять
grandfather|дед
really|действительно; "правда?"
December|декабрь
make, made|делать; изготовлять
do, did, done|делать
birthday|день рождения
day|день
money|деньги
village|деревня; поселок
tree|дерево
hold, held|держать; удерживать
ten|десять
children|дети
cheap|дешёвый
jeans|джинсы
sofa|диван
length|длина
long|длинный; долгий
for|для; в течение
good bye|до свидания
before|до
rain|дождь
have to|должен; обязан
must|должным; надо
house|дом (здание)
home|дом (место проживания)
road|дорога
expensive|дорогой (по цене)
dear|дорогой; милый
board|доска
delivery|доставка
enough|достаточно
achievement|достижение
profit|доход; польза
daughter|дочь
friend|друг
think, thought|думать
blow, blew, blown|дуть; удар; взрывать
shower|душ
soul|душа
chimney|дымовая труба
melon|дыня
uncle|дядя
his|его
food|еда
her|её
if|если; ли
complain|жаловаться
fever|жар; температура
wait|ждать
wish|желать; желание
yellow|жёлтый
stomach|желудок; живот
wife|жена
married|женатый/замужняя
woman|женщина
women|женщины
animal|животное
life|жизнь
giraffe|жираф
live|жить
magazine|журнал
journalist|журналист
fence|забор
forget, forgot, forgotten|забывать
tomorrow|завтра
breakfast|завтрак
task|задача
delay|задержка; отсрочка
order|заказ; порядок
close|закрывать
living room|зал
curtain|занавес; штора
busy|занятый
note|записка; запись
wrist|запястье
shy|застенчивый
call|звать; звонить
ring, rang, rung|звонить; кольцо
here|здесь; сюда
health|здоровье
hello|здравствуйте
green|зелёный
land|земля; участок
mirror|зеркало
winter|зима
evil|злой; зло
acquaintance|знакомый
knowledge|знание
know, knew, known|знать
meaning|значение; смысл
tooth|зуб
and|и
game|игра
play|играть
toy|игрушка
go, went, gone|идти; ехать
from|из
avoid|избегать
excuse|извинение; отговорка
sorry|извините
because of|из-за
change|изменение; менять
measure|измерение; мера
or|или
have, had, had|иметь
name|имя
engineer|инженер
sometimes|иногда
art|искусство
their|их
July|июль
June|июнь
yogurt|йогурт
to|к; в (куда)
squash|кабачок
each|каждый (по отдельности)
every|каждый
what a pity|как жаль
how|как
calendar|календарь
stone|камень
cabbage|капуста
hood|капюшон; капот
pencil|карандаш
map|карта
picture|картина
potatoes|картофель
card|карточка
pan|кастрюля
cafe|кафе
porridge|каша
cough|кашель; кашлять
flat|квартира
throw, threw, thrown|кидать; бросать
kilogram|килограмм
kilometer|километр
movie|кино
cinema|кинотеатр
sour|кислый
keyboard|клавиатура
lay, laid|класть; накрывать
glue|клей
client|клиент
strawberry|клубника
key|ключ; клавиша
book|книга
carpet|ковер
when|когда
sausage|колбаса
tights|колготки
knee|колено
wheel|колесо
colleague|коллега
room|комната
company|компания
envelope|конверт
certainly|конечно; безусловно
competitor|конкурент
ship|корабль
hall|коридор
brown|коричневый
feed, fed|кормить
box|коробка; ящик
cow|корова
short|короткий; низкий
bone|кость
suit|костюм
cutlet|котлета
coffee|кофе
cardigan|кофта
cat|кошка
beautiful|красивая
nice|красивый; хороший
red|красный
beauty|красота; красавица
armchair|кресло
shout|кричать; крик
bed|кровать
rabbit|кролик; заяц
sneakers|кроссовки
mug|кружка
rat|крыса
roof|крыша
who|кто
somebody|кто-то
corn|кукуруза
smoke|курить; дым
piece|кусок; часть
kitchen|кухня
stove|кухонная плита
eat, ate, eaten|кушать
lamp|лампа
noodles|лапша
lie, lay, lain|лгать; ложь
left|левый; cлева; налево
easy|легкий; нетрудный
light|лёгкий; светлый
lazy|ленивый
forest|лес
fly, flew, flown|летать; муха
summer|лето
lemon|лимон
ruler|линейка
fox|лиса
leaf|лист
literature|литература
face|лицо
forehead|лоб
catch, caught|ловить; подхватить
spoon|ложка
elbow|локоть
break, broke, broken|ломать
shovel|лопата; рыть
horse|лошадь
onion|лук (репчатый)
moon|луна
better|лучше; более подходящий
best|лучший
love|любовь; любить
anybody|любой; кто-нибудь
any|любые; всякий
people|люди
frog|лягушка
shop|магазин
May|май
small|маленький
raspberry|малина
boy|мальчик
mummy (mum)|мама
mandarin|мандарин
March|март
butter|масло
mother|мать
machine|машина; механизм
furniture|мебель
honey|мёд
bear|медведь
slow|медленный
nurse|медсестра
between|между
less|меньше; менее
place|место
month|месяц
dream|мечта; сон
microwave|микроволновка
minute|минута
world|мир (планета)
peace|мир (покой)
maybe|может быть
my|мой
young|молодой
milk|молоко
hammer|молоток
sea|море
carrot|морковь
ice-cream|мороженое
coast|морской берег
bridge|мост
can, could|мочь; может
husband|муж
man|мужчина
men|мужчины
music|музыка
musician|музыкант
flour|мука
garbage|мусор
we|мы
soap|мыло
thought|мысль
wash|мыть; cтирать
mouse|мышь
soft|мягкий; нежный
meat|мясо
ball|мяч
on|на
above|над, выше
put on|надевать
hope|надеяться; надежда
least|наименьший; меньше всего
punish|наказывать
cash|наличные
intend|намереваться
remind|напоминать
enjoy|наслаждаться; нравиться
running nose|насморк
science|наука
find, found|находить
chief|начальник
begin, began, begun|начинать
our|наш
not|не
sky|небо
recently|недавно
week|неделя
gentle|нежный
some|некоторые; немного
hate|ненавидеть
necessary|необходимый
wrong|неправильный
several|несколько
although|несмотря на то что
carry|нести
no|нет
oil|нефть, масло
underwear|нижнее белье
low|низкий; низко
never|никогда
nobody|никто
nothing|ничто
but|но
new|новый
leg|нога; ножка
foot|нога; ступня
nail|ноготь; гвоздь
knife|нож
scissors|ножницы
zero|ноль
nose|нос
wear, wore, worn|носить; одежда
handkerchief|носовой платок
sock|носок
laptop|ноутбук
night|ночь
November|ноябрь
like|нравиться; как
about|о; около
lunch|обед
monkey|обезьяна
provide|обеспечивать
cloud|облако
area|область, район
circumstance|обстоятельство
shoes|обувь
explain|объяснять
usually|обычно
duty|обязанность
widowed|овдовевший
vegetables|овощи
oatmeal|овсянка
fire|огонь; пожар
huge|огромный
cucumber|огурец
clothes|одежда
blanket|одеяло
one|один
eleven|одиннадцать
however|однако
approve|одобрять
lend, lent|одолжить
expect|ожидать
lake|озеро
ocean|океан
window|окно
October|октябрь
he|он
she|она
they|они
it|оно
danger|опасность
describe|описывать
experience|опыт; переживание
nut|орех
autumn|осень
main|основной; главный
especially|особенно
stay|останавливаться
stop|остановка
island|остров
spicy|острый (по вкусу)
sharp|острый; диез
answer|отвечать; ответ
rest|отдыхать; отдых
father|отец
open|открывать; открытый
excellent|отлично; превосходно
relationship|отношение
vacation|отпуск; каникулы
waste|отходы
office|офис
waiter|официант
mark|оценка; отметка
obviously|очевидно
delicious|очень вкусный
very|очень
glasses|очки
mistake|ошибка
fall, fell, fallen|падать
toe|палец (ноги)
finger|палец
stick|палка
coat|пальто
memory|память; воспоминание
daddy (dad)|папа
pair|пара
guy|парень
park|парк
Easter|Пасха
smell|пахнуть; запах
first|первый; сначала
negotiation|переговоры
in front of|перед
crossroads|перекрёсток
pepper|перец
peach|персик
glove|перчатка
song|песня
sand|песок
sing, sang, sung|петь
sadness|печаль
sad|печальный
cookie|печенье
oven|духовка
bake|печь
jacket|пиджак; куртка
pie|пирог; пирожок
write, wrote, written|писать
letter|письмо; буква
drink, drank, drunk|пить
swim, swam, swum|плавать
pay, paid|платить
dress|платье; одевать
cry|плач; крик
nephew|племянник
niece|племянница
shoulder|плечо
bad|плохой
square|площадь
beach|пляж
win, won|побеждать
behavior|поведение
turn|повернуть; очередь
surface|поверхность; всплывать
weather|погода
below|под, ниже
under|под
gift|дар
present|подарок
chin|подбородок
support|поддержка
lift|поднимать(ся); лифт
windowsill|подоконник
pillow|подушка
train|поезд
trip|поездка; путешествие
please|пожалуйста (прошу)
the day before yesterday|позавчера
behind|позади
let|позволять
late|поздний; поздно
show, showed, shown|показывать
leave, left|покидать; уходить
buy, bought|покупать
purchase|покупка
floor|пол; этаж
field|поле
useful|полезный
police|полиция
shelf|полка
towel|полотенце
get, got|получать; добираться
benefit|польза; выгода
fit|поместиться; соответствовать
put|помещать; класть
tomato|помидор
help|помогать; помощь
Monday|понедельник
visit|посещать; визит
afternoon|после полудня
after|после
last|последний; прошлый
the day after tomorrow|послезавтра
dishes|посуда
send, sent|посылать
package|посылка; упаковка
ceiling|потолок
then|потом; тогда
because|потому что; так как
why|почему; зачем
post office, mail|почта
almost|почти
right|правильный; справа
holiday|праздник; отпуск
celebrate|праздновать
offer|предложение
factory|предприятие
introduce|представлять; знакомить
advantage|преимущество
hi|привет
attractive|привлекательный
habit|привычка
invitation|приглашение
decide|принимать решение
bring, brought|приносить, привозить
meal|принятие пищи, еда
decision|принятие решения
come, came|приходить; приезжать
reason|причина
problem|проблема
check|проверка; чек
spend, spent|проводить; тратить
wire|проволока
shop assistаnt|продавец
just|просто; только что
simple|простой
sheet|простыня; листок
against|против
nasty|противный
cool|прохладно; круто
forgive, forgave, forgiven|прощать
jump|прыгать; прыжок
straight|прямой; прямо
bird|птица
travel|путешествовать
try|пытаться; попытка
heel|пятка; каблук
fifteen|пятнадцать
Friday|пятница
fifth|пятый
five|пять
fifty|пятьдесят
job|работа
work|работать; работа
worker|рабочий
radio|радио
glad|радостный
joy|радость
divorced|разведенный
development|развитие
talk|разговаривать; разговор
speak, spoke, spoken|разговаривать
size|размер
permit|разрешать
early|ранний; рано
story|рассказ, история
distance|расстояние
plant|растение
grow, grew, grown|расти, выращивать
comb|расчёска; расчесывать
child|ребенок
seldom|редко
cut|резать
river|река
advertising|реклама
belt|ремень; пояс
restaurant|ресторан
solve|решать
solution|решение
rice|рис
draw, drew, drawn|рисовать; чертить
parents|родители
birth|рождение
Christmas|Рождество
socket|розетка
pink|розовый
drop|ронять; падение
Russia|Россия
mouth|рот
shirt|рубашка
hand|рука; кисть
steering wheel|руль
pen|ручка
fish|рыба
market|рынок
backpack|рюкзак
with|с
garden|сад
salad|салат
napkin|салфетка
plane|самолет
sugar|сахар
wedding|свадьба
beet|свекла
pork|свинина
pig|свинья
sweater|свитер
free|свободный; бесплатный
kind|своего рода; тип
tonight|сегодня вечером
today|сегодня
now|сейчас; теперь
marital status|семейное положение
seventeen|семнадцать
seven|семь
seventy|семьдесят
family|семья
September|сентябрь
angry|сердитый
heart|сердце
grey|серый
sister|сестра
sit, sat|сидеть
strength|сила
strong|сильный; крепкий
pretty|симпатичный; довольно
bruise|синяк; ушиб; ушибить
say, said|сказать
discount|скидка
frying pan|сковородка
how much|сколько + е.ч
how many|сколько + м.ч
soon|скоро
speed|скорость
sculpture|скульптура
weak|слабый
sweet|сладкий
consequence|следствие
next|следующий
plum|слива
cream|сливки; крем
dictionary|словарь
word|слово
elephant|слон
case|случай; чехол
listen|слушать
hear, heard|слышать
brave|смелый
death|смерть
laugh|смеяться
watch|смотреть; наручные часы
snow|снег
take off|снимать одежду
again|снова; опять
dog|собака
collect|собирать
own|собственный; владеть
event|событие
advice|совет
agree|соглашаться
agreement|соглашение; договор
juice|сок
salty|соленый
sun|солнце
salt|соль
match|соответствовать; матч
forty|сорок
neighbor|сосед
sauce|соус
bedroom|спальня
save|спасать; сохранять
thank|спасибо
sleep, slept|спать
spice|специя
back|спина; назад
list|список
calm|спокойный
argument|спор; аргумент
argue|спорить
ability|способность
able|способный
ask|спрашивать; просить
Wednesday|среда
among|среди
means|средство; способ
glass|стакан; стекло
become, became|становиться
station|станция; вокзал
old|старый
wall|стена
hundred|сто
cost|стоить
table|стол
stand, stood|стоять
country|страна
page|страница
strange|чужой
weird|странный
passion|страсть; страстность
fear|страх; бояться
building|строительство
build, built|строить
student|студент
chair|стул
stairs|ступеньки; лестница
Saturday|суббота
bag|сумка
soup|суп
happy|счастливый
happiness|счастье
account|счет банковский
bill|счёт
count|считать; подсчитывать
son|сын
cheese|сыр
full|сытый; полный
so|так; поэтому
also|также
such|такой
there|там; туда
customs|таможня
dance|танцевать
dish|блюдо
plate|тарелка
hard|твёрдый; жесткий
your|твой; ваш
curd|творог
those|те
theater|театр
TV|телевизор
phone|телефон
body|тело
dark|тёмный
temperature|температура
warm|тёплый; тепло
test|тест; испытание
father-in-law|тесть
copybook|тетрадь
aunt|тетя
quiet|тихий
too|тоже; слишком
thick|густой
fat|толстый; жирный; жир
only|только
slim|тонкий; стройный
thin|тонкий
sink, sank, sunk|тонуть; погружаться
cake|торт
that|тот; что (союз)
exactly|точно
grass|трава
tram|трамвай
transport|транспорт
third|третий
three|три
thirty|тридцать
thirteen|тринадцать
path|тропа
sidewalk|тротуар
pipe|труба; трубка
difficult|трудный; тяжелый
hard-working|трудолюбивый
coward|трусливый; трус
toilet|туалет
fog|туман
blunt|тупой (нож; человек)
you|ты; вы
pumpkin|тыква
thousand|тысяча
heavy|тяжёлый
persuade|убеждать
sure|уверенный
hit|ударять
luck|удача
amazing|удивительный
surprise|удивлять; сюрприз
comfortable|удобный; уютный
pleasure|удовольствие
terrible|ужасный
already|уже
dinner|ужин
narrow|узкий
street|улица
smile|улыбка
die|умирать
smart|умный
university|университет
exercise|упражнение
ugly|уродливый
lesson|урок
effort|усилие
success|успех
tired|усталый
mustache|усы
duck|утка
morning|утро
iron|утюг; железо
ear|ухо
teacher|учитель
learn|учить(ся)
teach, taught|учить; обучать
study|изучение
torch|факел
surname|фамилия
February|февраль
film|фильм; пленка
purple|фиолетовый; пурпурный
photo|фото
camera|фотоаппарат
fruit|фрукт
pound|фунт
t-shirt|футболка
bread|хлеб
fridge|холодильник
cold|холодно
single|холостой, незамужняя
good|хороший; добрый
well|хорошо; колодец
want|хотеть
keep, kept|хранить; держать
artist|художник
worst|худший
worse|хуже; более плохой
color|цвет
flower|цветок
goal|цель; гол
price|цена
center|центр
church|церковь
chicken|цыпленок
tip|чаевые
tea|чай
kettle|чайник; котел
hour|час
often|часто
clock|часы
cup|чашка
suitcase|чемодан
through|через
black|чёрный
garlic|чеснок
honest|честный
Thursday|четверг
fourth|четвертый
four|четыре
fourteen|четырнадцать
number|число; номер
clean|чистый; чистить
read|читать
sneeze|чихать
something|что нибудь; нечто
what|что; какой
anything|что-нибудь; все
feeling|чувство
feel, felt|чувствовать
miracle|чудо
stockings|чулки
step|шаг; ступать
cap|шапка; кепка
scarf|шарф
sixteen|шестнадцать
six|шесть
sixty|шестьдесят
neck|шея
wide|широкий
cabinet|шкаф
school|школа
pupil|школьник; ученик
hat|шляпа
chocolate|шоколад
shorts|шорты
noisy|шумный
joke|шутка
cheek|щека
brush|щетка; кисть
these|эти
this|этот
skirt|юбка
I|я
apple|яблоко
lamb|ягненок
berry|ягода
language|язык
egg|яйцо
January|январь
